Index,Actual Value (USD),Predicted Value (USD)
Republic of Moldova-2022,1216929.5899999999,456.17919510400304
Romania-2021,7121569.109999997,10231401.60113115
Romania-2022,6989653.2200000025,306.07384867848026
Russian Federation-2022,15663099.280000012,1801.6248394896552
Rwanda-2020,180980.80999999985,70462.37564018385
Rwanda-2021,288900.02000000025,18092.99049375734
Rwanda-2022,335353.2800000002,3737.668386385025
Saint Lucia-2022,4220.399999999999,1161.7436115738856
Saint Vincent and the Grenadines-2020,14951.130000000006,40485.79595037285
Saint Vincent and the Grenadines-2021,13250.969999999992,654.6075977987088
Saint Vincent and the Grenadines-2022,16019.089999999995,687.9966114193841
Saudi Arabia-2020,1872277.1400000006,1416.9214418700533
Saudi Arabia-2021,2400775.060000002,359.46844137950285
Saudi Arabia-2022,2133686.560000002,363.44915811448845
Senegal-2020,563816.6599999997,2484.49772215578
Senegal-2021,798447.2800000004,1174.7570765412063
Senegal-2022,613206.7899999998,485.4421010380453
Serbia-2021,3563486.83,2191161.238903192
Serbia-2022,3479959.880000002,713.2577211909831
Slovakia-2020,1490465.1300000008,12465034.392451096
Slovakia-2021,1797250.0299999989,1336400.9288578446
Slovakia-2022,2327466.0700000008,692.7036035423346
Slovenia-2020,883407.8199999995,173929.9928595534
Slovenia-2021,1134029.4099999997,64071.30510813273
Slovenia-2022,1260826.04,785.4909056566709
South Africa-2020,6867025.349999998,236957.9570856656
South Africa-2021,7965782.289999995,8732.609926610015
South Africa-2022,8688170.980000006,463.85727685562773
South Sudan-2020,4215.909999999997,103757126.12604256
South Sudan-2021,3345.860000000002,4834.743956928762
South Sudan-2022,3526.259999999999,4036.075575679172
Sri Lanka-2020,712031.66,7139.920743744
Sri Lanka-2021,875216.5699999995,1094.831627380797
Sri Lanka-2022,779786.0,342.77272015011926
Sudan-2020,387776.69000000024,126681.2924094077
Sudan-2021,614972.2300000007,191.06415332420238
Sudan-2022,469302.85999999975,1113.143332006041
Suriname-2020,84492.11999999998,1895599.4900792555
Suriname-2021,96056.96000000008,592355.0816359168
Suriname-2022,72259.66000000002,2807.6833030628013
Sweden-2021,3552430.410000002,1911066.3810773666
Sweden-2022,3543158.6500000004,516.7945352019198
Switzerland-2021,3560573.280000002,196408.14279001515
Syrian Arab Republic-2020,450212.9900000001,367409199.76877606
Syrian Arab Republic-2021,501976.9299999996,183090.67783697945
Syrian Arab Republic-2022,319198.04000000004,46564.081857084464
Timor-Leste-2020,2609.9600000000014,1578.5027707362376
Timor-Leste-2021,2522.3700000000003,26463.135209991327
Timor-Leste-2022,717.7200000000001,869.2688983164759
Togo-2020,129953.82999999993,248909.75884843362
Togo-2021,128551.92999999995,144917.7506012399
Togo-2022,124298.02999999991,29767.607098944336
Trinidad and Tobago-2022,341708.65999999986,2908.7511965438234
Turkmenistan-2020,51749.47999999996,59930.18344913694
Turkmenistan-2021,89170.76,13898.437569983036
Turkmenistan-2022,65374.80000000006,6255.406449693153
United Arab Emirates-2020,8983344.389999995,43499.129954044896
United Arab Emirates-2021,10176318.64,25657.24366707394
United Arab Emirates-2022,12211498.959999986,259.58988287255215
Uruguay-2021,1206743.0700000008,4076.686396354151
Uruguay-2022,1578209.3199999996,1482.0461299447777
Uzbekistan-2020,1304940.7100000007,30707483.260132533
Uzbekistan-2021,1292780.3699999994,23590003.934345357
Viet Nam-2020,11751907.05999999,17991877.868483584
Viet Nam-2021,12946352.56,5555.243628311015
Viet Nam-2022,10635823.930000003,406.85241709286254
Yemen-2020,165955.52999999997,542627.7443425003
Yemen-2021,235386.10999999984,269983.4428685472
Yemen-2022,124708.84999999995,9579.341393027187
Zambia-2020,464617.3900000002,13303.35327113888
Zambia-2021,609252.4099999996,346538.01226617186
Zambia-2022,785020.3900000005,10246.784995894945
Bahamas-2020,260.53999999999996,11.893700522067276
Bahamas-2021,136.80000000000007,13.904322517151963
Bahamas-2022,1086.7700000000004,11.46306158254074
Bermuda-2020,1.0,382.4350948997282
Bermuda-2021,1.0,1280.1825661298956
Bermuda-2022,1.0,175.3455392765876
Solomon Islands-2020,41986.95000000002,405.9822783550787
Solomon Islands-2021,56581.230000000054,21.487410654473887
Solomon Islands-2022,62762.74999999996,253.40279481509373
British Virgin Islands-2020,1.0,17.44902763377094
British Virgin Islands-2021,1.0,17.67458148174698
British Virgin Islands-2022,1.0,17.808160222036044
Brunei Darussalam-2022,2108.68,1447.3998147527475
